question,answer,
how many pages are in the harry potter series," Jenny Sawyer wrote in Christian Science Monitor on 25 July 2007 that the books represent a `` disturbing trend in commercial storytelling and Western society '' in that stories `` moral center ( sic ) have all but vanished from much of today 's pop culture ... after 10 years , 4,195 pages , and over 375 million copies , J.K. Rowling 's towering achievement lacks the cornerstone of almost all great children 's literature : the hero 's moral journey '' . Harry Potter , Sawyer argues , neither faces a `` moral struggle '' nor undergoes any ethical growth , and is thus `` no guide in circumstances in which right and wrong are anything less than black and white '' . In contrast Emily Griesinger described Harry 's first passage through to Platform 93⁄4 as an application of faith and hope , and his encounter with the Sorting Hat as the first of many in which Harry is shaped by the choices he makes . She also noted the `` deeper magic '' by which the self - sacrifice of Harry 's mother protects the boy throughout the series , and which the power - hungry Voldemort fails to understand . ",
where is the lava stored in a volcano," A magma chamber is a large pool of liquid rock beneath the surface of the Earth . The molten rock , or magma , in such a chamber is under great pressure , and , given enough time , that pressure can gradually fracture the rock around it , creating a way for the magma to move upward . If it finds its way to the surface , then the result will be a volcanic eruption ; consequently , many volcanoes are situated over magma chambers . These chambers are hard to detect deep within the Earth , and therefore most of those known are close to the surface , commonly between 1 km and 10 km down . ",
who sang lead vocals on amie by pure prairie league," In his book Music : What Happened ? , musician and music critic Scott Miller described the song as `` quintessentially 1972 '' and `` lovely '' . Mike DeGagne of Allmusic called it `` a charming little country - pop tune '' and `` their most memorable , '' praising its melody and Craig Fuller 's lead vocals . Rock historian John Einarson , citing the song 's `` lilting harmonies and subtle acoustic playing , '' called it `` a classic of the country rock genre . '' ",
who led the american occupation of puerto rico during the spanish-american war," Under the terms of the Treaty of Paris of 1898 , ratified on December 10 , 1898 , Puerto Rico was ceded to the United States . Spain had lost its last colony in the Western Hemisphere and the United States gained imperial strength and global presence . The United States established a military government and appointed Miles the first head of the military government established on the island , acting as both head of the army of occupation and administrator of civil affairs . Members of the Spanish forces and civilians who were loyal to the Spanish Crown were allowed to return to Spain . By October 18 , the Spanish withdrawal from Puerto Rico was completed as the final troops left San Juan for Spain . Those who belonged to the Spanish military who decided to stay in Puerto Rico were offered the option by the United States to serve in the newly formed `` Porto Rico Regiment '' . Some took the offer , such as Teófilo Marxuach , a former Lieutenant in the Spanish Army who joined the regiment , and others , such as Capt . Angel Rivero Méndez , declined the offer and retired from the military . ",
who was invited to the parliament of religious in 1893,"  The Jain preacher Virchand Gandhi was invited as a representative of Jainism .   The Buddhist preacher Anagarika Dharmapala was invited as a representative of `` Southern Buddhism , '' the term applied at that time to the Theravada .   Soyen Shaku , the `` First American Ancestor '' of Zen , made the trip .   An essay by the Japanese Pure Land master Kiyozawa Manshi , `` Skeleton of the philosophy of religion '' was read in his absence .   Swami Vivekananda represented Hinduism as a delegate , introducing Hinduism at the opening session of the Parliament on 11 September . Though initially nervous , he bowed to Saraswati , then began his speech with salutation , `` Sisters and brothers of America ! '' . To these words he got a standing ovation from a crowd of seven thousand , which lasted for two minutes . When silence was restored he began his address . He greeted the youngest of the nations on behalf of `` the most ancient order of monks in the world , the Vedic order of sannyasins , a religion which has taught the world both tolerance and universal acceptance. ! ''   Islam was represented by Mohammed Alexander Russell Webb , an Anglo - American convert to Islam and the former US ambassador to Philippine .   Rev. Henry Jessup addressing the World Parliament of Religions was the first to publicly discuss the Bahá'í Faith in the United States ( it had previously been known in Europe . ) Since then Bahá'ís have become active participants .   Theism or the Brahmo Samaj was represented by Pratap Chandra Majumdar   New religious movements of the time , such as Spiritualism and Christian Science . The latter was represented by Septimus J. Hanna , who read an address written by its founder Mary Baker Eddy .  ",
what teams in the nba go to the playoffs," In September 2015 , the NBA announced changes to the formula used to determine the format of the 2016 NBA Playoffs . The top eight teams in each conference ( East and West ) , ranked in order by win - loss records , qualify for the playoffs . The tie - break criteria for playoff seeding and home - court advantage have also changed ; head - to - head results between the tied teams is the first tie - breaker , and whether a team won its division championship is the second tie - breaker . ",
when did they stop using knob and tube wiring in homes," Knob - and - tube wiring ( sometimes abbreviated K&T ) is an early standardized method of electrical wiring in buildings , in common use in North America from about 1880 to the 1930s . It consisted of single - insulated copper conductors run within wall or ceiling cavities , passing through joist and stud drill - holes via protective porcelain insulating tubes , and supported along their length on nailed - down porcelain knob insulators . Where conductors entered a wiring device such as a lamp or switch , or were pulled into a wall , they were protected by flexible cloth insulating sleeving called loom . The first insulation was asphalt - saturated cotton cloth , then rubber became common . Wire splices in such installations were twisted together for good mechanical strength , then soldered and wrapped with rubber insulating tape and friction tape ( asphalt saturated cloth ) , or made inside metal junction boxes . ",
when did they stop hanging in the us," Hanging has been practiced legally in the United States of America from the nation 's birth , up to 1972 when the United States Supreme Court found capital punishment to be in violation of the eighth amendment to the United States Constitution . Four years later , the Supreme Court overturned its previous ruling , and in 1976 , capital punishment was again legalized in the United States . Hanging has returned to the states of Washington and New Hampshire . ",
the day the earth stood still famous phrase," `` Klaatu barada nikto '' is a phrase that originated in the 1951 science fiction film The Day the Earth Stood Still . The humanoid alien protagonist of the film , Klaatu ( Michael Rennie ) , instructs Helen Benson ( Patricia Neal ) that if any harm befalls him , she must say the phrase to the robot Gort ( Lockard Martin ) . In response Gort relents from destroying the Earth and resurrects Klaatu from death . ",
what is the purpose of constructing a calibration curve," In analytical chemistry , a calibration curve , also known as a standard curve , is a general method for determining the concentration of a substance in an unknown sample by comparing the unknown to a set of standard samples of known concentration . A calibration curve is one approach to the problem of instrument calibration ; other standard approaches may mix the standard into the unknown , giving an internal standard . ",
how many varieties of quality street chocolates are there," The sweets within the box have changed and evolved over the years . As of October 2017 , there are 13 flavours of the individually wrapped sweets , all of which are either chocolate or toffee based , as follows : ",
where is the silk road located on a map, The Silk Road or Silk Route was an ancient network of trade routes that were for centuries central to cultural interaction originally through regions of Eurasia connecting the East and West and stretching from the Korean peninsula and Japan to the Mediterranean Sea . The Silk Road concept refers to both the terrestrial and the maritime routes connecting Asia and Europe . The overland Steppe route stretching through the Eurasian steppe is considered the ancestor to the Silk Road ( s ) . ,
who won the us open 2017 golf tournament," The 2017 U.S. Open Championship was the 117th U.S. Open , held June 15 -- 18 , 2017 at Erin Hills in Erin , Wisconsin , northwest of Milwaukee . The event was won by Brooks Koepka , who claimed his first major after finishing with a final score of 16 under par . This score matched the lowest score ever attained at the tournament , a record set in 2011 by Rory McIlroy . ",
what's the difference between tweedle dee and tweedle dum," Tweedledum and Tweedledee are fictional characters in an English nursery rhyme and in Lewis Carroll 's Through the Looking - Glass , and What Alice Found There . Their names may have originally come from an epigram written by poet John Byrom . The nursery rhyme has a Roud Folk Song Index number of 19800 . The names have since become synonymous in western popular culture slang for any two people who look and act in identical ways , generally in a derogatory context . ",
what do the lyrics mean to lady marmalade," Labelle 's version of `` Lady Marmalade '' was produced by Allen Toussaint and Vicki Wickham . It was released in November 1974 from Nightbirds , their first album after signing with Epic Records . Patti LaBelle sang lead vocals on `` Lady Marmalade '' with backing vocals being contributed by bandmates Nona Hendryx and Sarah Dash . The song is best known for the French lyric `` Voulez - vous coucher avec moi ce soir ? '' ( English : `` Would you like to sleep with me tonight ? '' ) in the refrain . `` Lady Marmalade '' is a song about a prostitute , although Patti LaBelle , the lead female vocal of the band , was completely oblivious to its overall message , saying : `` I did n't know what it was about . I do n't know French and nobody , I swear this is God 's truth , nobody at all told me what I 'd just sung a song about . '' ",
who was the actress that played tony montana's sister," Mary Elizabeth Mastrantonio ( born November 17 , 1958 ) is an American actress and singer . She made her Broadway debut in the 1980 revival of West Side Story , and went on to appear in the 1983 film Scarface as Al Pacino 's character 's sister , Gina Montana . For her role as Carmen in the 1986 film The Color of Money , she was nominated for the Academy Award for Best Supporting Actress . Her other film roles include The Abyss ( 1989 ) , Robin Hood : Prince of Thieves ( 1991 ) , and The Perfect Storm ( 2000 ) . In 2003 , she was nominated for the Tony Award for Best Actress in a Musical for the Broadway revival of Man of La Mancha . ",
when does one flew over the cuckoos nest take place," One Flew Over the Cuckoo 's Nest was written in 1959 and published in 1962 in the midst of the Civil Rights Movement and deep changes to the way psychology and psychiatry were being approached in America . The 1960s began the controversial movement towards deinstitutionalization , an act that would have affected the characters in Kesey 's novel . The novel is a direct product of Kesey 's time working the graveyard shift as an orderly at a mental health facility in Menlo Park , California . Not only did he speak to the patients and witness the workings of the institution , but he voluntarily took psychoactive drugs , including mescaline and LSD , as part of Project MKUltra . ",
types of writs in the constitution of india,"  The writ of prohibition is issued by a higher court to a lower court prohibiting it from taking up a case because it falls outside the jurisdiction of the lower court . Thus , the higher court transfers the case to itself .   The writ of habeas corpus is issued to a detaining authority , ordering the detainer to produce the detained person in the issuing court , along with the cause of his or her detention . If the detention is found to be illegal , the court issues an order to set the person free .   The writ of certiorari is issued to a lower court directing that the record of a case be sent up for review , together with all supporting files , evidence and documents , usually with the intention of overruling the judgement of the lower court . It is one of the mechanisms by which the fundamental rights of the citizens are upheld .   The writ of mandamus is issued to a subordinate court , an officer of government , or a corporation or other institution commanding the performance of certain acts or duties .   The writ of quo warranto is issued against a person who claims or usurps a public office . Through this writ the court inquires ' by what authority ' the person supports his or her claim .  ",
when can a writ of mandamus be issued," Mandamus ( `` We command '' ) is a judicial remedy in the form of an order from a superior court , to any government subordinate court , corporation , or public authority , to do ( or forbear from doing ) some specific act which that body is obliged under law to do ( or refrain from doing ) , and which is in the nature of public duty , and in certain cases one of a statutory duty . It can not be issued to compel an authority to do something against statutory provision . For example , it can not be used to force a lower court to reject or authorize applications that have been made , but if the court refuses to rule one way or the other then a mandamus can be used to order the court to rule on the applications . ",
what is an honorable discharge from the marines," To receive an honorable discharge , a service member must have received a rating from good to excellent for his or her service . Service members who meet or exceed the required standards of duty performance and personal conduct , and who complete their tours of duty , normally receive honorable discharges . However , one need not complete a term of service to receive an honorable discharge , provided the reason for involuntary discharge is not due to misconduct . For instance , service members rendered physically or psychologically incapable of performing assigned duties normally have their service characterized as honorable , regardless of whether they incurred the condition or disability in the line of duty , provided they otherwise met or exceeded standards . Similarly , service members selected for involuntary discharge due to a Reduction in Force ( RIF ) typically receive an honorable discharge , assuming their conduct while on active duty met or exceeded standards . ",
when did the first us state legalize weed," The legal history of cannabis in the United States began with state - level prohibition in the early 20th century , with the first major federal limitations occurring in 1937 . Starting with Oregon in 1973 , individual states began to liberalize cannabis laws through decriminalization . In 1996 , California became the first state to legalize medical cannabis , sparking a trend that spread to a majority of states by 2016 . In 2012 , Colorado and Washington became the first states to legalize cannabis for recreational use . ",
where did the settlers of new hampshire come from," Massachusetts was first colonized by principally English Europeans in the early 17th century , and became the Commonwealth of Massachusetts in the 18th century . Prior to English colonization of the area , it was inhabited by a variety of mainly Algonquian language indigenous tribes . The first permanent English settlement in New England came in 1620 with the founding of Plymouth Colony by the Pilgrims who sailed on the Mayflower . It set precedents but never grew large . A large - scale Puritan migration began in 1630 with the establishment of the Massachusetts Bay Colony , and spawned the settlement of other New England colonies . Friction with the natives erupted in the high - casualty King Philip 's War in the 1670s . Puritanism was the established religion and was strictly enforced ; dissenters were exiled . The Colony clashed with Anglican opponents in England over its religious intolerance and the status of its charter . Most people were farmers . Businessmen established wide - ranging trade links , sending ships to the West Indies and Europe , and sometimes shipping goods in violation of the Navigation Acts . These political and trade issues led to the revocation of the Massachusetts charter in 1684 . ",
when does gone with the wind come on tv," The film received its world television premiere on the HBO cable network on June 11 , 1976 , and played on the channel for a total of fourteen times throughout the rest of the month . It made its network television debut in November later that year : NBC paid $5 million for a one - off airing , and it was broadcast in two parts on successive evenings . It became at that time the highest - rated television program ever presented on a single network , watched by 47.5 percent of the households sampled in America , and 65 percent of television viewers , still the record for the highest rated film to ever air on television . In 1978 , CBS signed a deal worth $35 million to broadcast the film twenty times over as many years . Turner Entertainment acquired the MGM film library in 1986 , but the deal did not include the television rights to Gone with the Wind , which were still held by CBS . A deal was struck in which the rights were returned to Turner Entertainment and CBS 's broadcast rights to The Wizard of Oz were extended . It was used to launch two cable channels owned by Turner Broadcasting System : Turner Network Television ( 1988 ) and Turner Classic Movies ( 1994 ) . It debuted on videocassette in March 1985 , where it placed second in the sales charts , and has since been released on DVD and Blu - ray Disc formats . ",
the three pillars of the westphalian constitution of world politics are," Westphalian sovereignty , or state sovereignty , is the principle of international law that each nation - state has exclusive sovereignty over its territory . External powers should not interfere in another country 's domestic affairs . Each state , no matter how large or small , has equal rights to sovereignty . The principle underlies the modern international system of sovereign states . The United Nations Charter states that `` nothing should authorise intervention in matters essentially within the domestic jurisdiction of any state . '' ",
what type of genetic mutation is huntington's disease," HD is typically inherited from a person 's parents , although up to 10 % of cases are due to a new mutation . The disease is caused by an autosomal dominant mutation in either of an individual 's two copies of a gene called Huntingtin . This means a child of an affected person typically has a 50 % chance of inheriting the disease . The Huntingtin gene provides the genetic information for a protein that is also called `` huntingtin '' . Expansion of CAG ( cytosine - adenine - guanine ) triplet repeats in the gene coding for the Huntingtin protein results in an abnormal protein , which gradually damages cells in the brain , through mechanisms that are not fully understood . Diagnosis is by genetic testing , which can be carried out at any time , regardless of whether or not symptoms are present . This fact raises several ethical debates : the age at which an individual is considered mature enough to choose testing ; whether parents have the right to have their children tested ; and managing confidentiality and disclosure of test results . ",
who does the universal declaration of human rights apply to," During World War II , the Allies adopted the Four Freedoms -- freedom of speech , freedom of religion , freedom from fear , and freedom from want -- as their basic war aims . The United Nations Charter `` reaffirmed faith in fundamental human rights , and dignity and worth of the human person '' and committed all member states to promote `` universal respect for , and observance of , human rights and fundamental freedoms for all without distinction as to race , sex , language , or religion '' . ",
who plays jack donaghy in the avery jessup movie," Avery 's mother Diana ( Mary Steenburgen ) arrives to make sure that the TV movie about her daughter shows her in a good light . Liz ( Tina Fey ) promises to help Jack ( Alec Baldwin ) overcome his chemistry with Diana and keep him out of an inappropriate relationship . Liz eventually fixes Diana up with the actor playing Jack ( William Baldwin , Alec Baldwin 's real life brother ) to keep her away from Jack . At the table reading of Liz 's script , Jack is appalled that Liz has included some seedy details about Jack and Avery 's courtship . He fires Liz from the project and rewrites the script himself . Jack eventually realizes that Liz is right that he had been idealizing his relationship with Avery . Liz consoles him and helps him rewrite the script to be a total fabrication . ",
supreme court justices are appointed for a term of a. life. b. 2 years. c. 14 years. d. 6 years," The Supreme Court of the United States is the highest ranking judicial body in the United States . Its membership , as set by the Judiciary Act of 1869 , consists of the Chief Justice of the United States and eight associate justices , any six of whom would constitute a quorum . Justices are nominated by the President of the United States and appointed after confirmation by the United States Senate . Justices of the Supreme Court have life tenure and receive a salary which is set at $255,500 per year for the chief justice and at $244,400 per year for each associate justice as of 2014 . ",
what did audrey hepburn won a tony for," Audrey Hepburn received numerous awards and honors during her career . Hepburn won , or was nominated for , awards for her work in motion pictures , television , spoken - word recording , on stage , and humanitarian work . She was five - times nominated for an Academy Award , and was awarded the 1954 Academy Award for Best Actress for her performance in Roman Holiday and the Jean Hersholt Humanitarian Award in 1993 , post-humously , for her humanitarian work . She won a record three BAFTA Awards for Best British Actress in a Leading Role , from five nominations , and received a Lifetime Achievement Award in 1992 . Hepburn received 10 Golden Globe Award nominations , winning two , and was the recipient of the Cecil B. DeMille Award in 1990 . She also won the 1954 Tony Award for Best Performance by a Leading Actress in a Play in Ondine , and received a Special Tony Award in 1968 . ",
where does the saying spotty muldoon come from," Spotty Muldoon , a fictional character created by Peter Cook , and featured in his 1965 song The Ballad of Spotty Muldoon ",
when did the word robotics first appear in print," According to the Oxford English Dictionary , the word robotics was first used in print by Isaac Asimov , in his science fiction short story `` Liar ! '' , published in May 1941 in Astounding Science Fiction . Asimov was unaware that he was coining the term ; since the science and technology of electrical devices is electronics , he assumed robotics already referred to the science and technology of robots . In some of Asimov 's other works , he states that the first use of the word robotics was in his short story Runaround ( Astounding Science Fiction , March 1942 ) . However , the original publication of `` Liar ! '' predates that of `` Runaround '' by ten months , so the former is generally cited as the word 's origin . ",
when did loyola last win the ncaa championship," In 1963 , Loyola won the 1963 NCAA Men 's Division I Basketball Tournament ( then the `` NCAA University Division '' ) men 's basketball national championship under the leadership of All - American Jerry Harkness , defeating two - time defending champion Cincinnati 60 -- 58 in overtime in the title game . All five starters for the Ramblers played the entire championship game without substitution . ",
who played the baby in i love lucy," Enrique Alberto Ricardo IV , `` Little Ricky , '' is a fictional character from the American television series I Love Lucy ( 1951 -- 57 , with Ricky Jr. becoming a part of the show as of his birth in 1953 ) and The Lucy - Desi Comedy Hour ( 1957 -- 60 ) . Little Ricky was played by a number of actors , including James John Ganzer , twins Richard and Ronald Lee Simmons , twins Michael and Joseph Mayer and , most notably , Keith Thibodeaux , billed as Little Ricky . Although the I Love Lucy announcer and the opening credits of The Lucy - Desi Comedy Hour gave his stage name as `` Little Ricky '' , in his post-Lucy acting career , particularly his four - year irregular stint on The Andy Griffith Show , he was billed as Richard Keith . ",
where does publisher clearing house money come from," Publishers Clearing House ( PCH ) is a direct marketing company that markets merchandise and magazine subscriptions with sweepstakes , and prize - based games . ",
who did the patriots play last year for super bowl," Super Bowl LI was an American football game played at NRG Stadium in Houston , Texas , on February 5 , 2017 , to determine the champion of the National Football League ( NFL ) for the 2016 season . The American Football Conference ( AFC ) champion New England Patriots , after trailing by as many as 25 points ( 28 -- 3 ) during the third quarter , defeated the National Football Conference ( NFC ) champion Atlanta Falcons , 34 -- 28 in overtime . The Patriots ' 25 - point comeback is the largest comeback in Super Bowl history , and Super Bowl LI was the first to be decided in overtime . ",
who sings the song don't you forget about me in the commercial," `` Do n't You ( Forget About Me ) '' is a 1985 pop song performed by Scottish rock band Simple Minds . The song is best known for being played during the opening and closing credits of the John Hughes film The Breakfast Club . It was written and composed by producer Keith Forsey and Steve Schiff , a guitarist and songwriter from the Nina Hagen band . ",
ukraine starts liquidation of legendary aircraft manufacturer antonov," On 19 July 2017 , the Ukrainian government approved the liquidation of Antonov 's assets , starting with closing down three factories in Kiev and Kharkiv . The State Concern `` Antonov '' ( a business group , created in 2005 from the merger of several legally independent companies into a single economic entity under unified management ) will be liquidated as a residual corporate entity . Antonov State Company , Kharkiv State Aviation Manufacturing Enterprise and Plant No 410 of Civil Aviation were transferred under the management of another state - owned concern Ukroboronprom in 2015 . Antonov State Company continues to function as an enterprise . ",
