;question;reference_answer;generated_answer;confidence_score;response_token_sum;prompt_token_sum;ref_answer_token_sum;latency;power_consumption;gpu_utilization;gpu_memory
21;The immune system protects organisms against what?;disease;disease;1.5021490753497346e-06;5;10;5;0.06303930282592773;25.18;4.0;3150.0
22;"How much was the combined wealth of the ""10 Million dollar millionaires"" in 2008?";nearly $41 trillion;$41 trillion;0.1312394142150879;5;19;7;0.07973456382751465;24.895;17.0;3150.0
23;When did the 1973 oil crisis begin?;October 1973;October 1973;0.08493976294994354;4;10;4;0.07924747467041016;24.2;9.0;3146.0
24;When were the Normans in Normandy?;10th and 11th centuries;10th and 11th centuries;0.07888765633106232;8;10;8;0.06406450271606445;23.935000000000002;5.0;3147.0
25;What is it called when people in society rebel against laws they think are unfair?;Civil disobedience;Civil disobedience;0.3357732892036438;4;18;4;0.08792543411254883;23.1;6.0;3150.0
26;What are the main sources of primary law?;Treaties establishing the European Union;Treaties;3.073625975957839e-06;5;11;9;0.1296546459197998;23.6;7.0;3150.0
27;Where did the black death originate?;the arid plains of Central Asia;arid plains of Central Asia;2.6891439119935967e-05;8;9;9;0.07784247398376465;22.869999999999997;4.5;3150.0
28;What did Paul Baran develop?;Paul Baran developed the concept Distributed Adaptive Message Block Switching;Distributed Adaptive Message Block Switching;0.7050033211708069;10;9;16;0.07913398742675781;21.91;5.0;3150.0
29;When was the French and Indian War?;1754?1763;1754?1763;0.0005421472596935928;7;10;7;0.06211709976196289;23.93;9.0;3175.0
30;What are the agents the immune system detects known as?;pathogens;pathogens;0.6135444045066833;4;13;4;0.08483004570007324;22.89;15.5;3175.0
31;What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?;Computational complexity theory;Computational complexity theory;0.23259152472019196;7;22;7;0.09492039680480957;23.04;4.0;3169.0
32;Which coastline does Southern California touch?;Pacific;Pacific;0.002418776275590062;3;9;3;0.16389250755310059;23.75;15.5;3253.0
33;What percentile of gross domestic product is construction comprised of?;six to nine percent;six to nine percent;0.010480605065822601;6;13;6;0.0852046012878418;28.085;14.0;3250.0
34;Where according to gross state product does Victoria rank in Australia?;second;second;3.752414704649709e-05;3;14;3;0.07990694046020508;27.91;12.0;3237.0
35;Sophocles demonstrated civil disobedience in a play that was called?;Antigone;Antigone;0.0004500920476857573;5;16;5;0.07584595680236816;27.36;10.0;3246.0
36;University of Chicago scholars played a major part in what development?;various academic disciplines;various academic disciplines;8.105158322280204e-09;6;14;6;0.07359981536865234;27.275;13.0;3246.0
37;The word imperialism has it's origins in which ancient language?;Latin;Latin;0.05968014895915985;3;14;3;0.06768274307250977;27.145;4.0;3239.0
38;What UN organizations established the IPCC?;the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP);World Meteorological Organization (WMO) and the United Nations Environment Programme;4.881105724052759e-06;16;9;21;0.06534147262573242;27.37;10.0;3234.0
39;Which gas makes up 20.8% of the Earth's atmosphere?;Diatomic oxygen;oxygen;0.0002026587608270347;4;16;6;0.06213521957397461;27.44;2.0;3201.0
40;What is the Yuan dynasty's official name?;the Great Yuan;the Great Yuan;0.7254700660705566;5;11;5;0.06318998336791992;27.455;13.0;3194.0
41;What are the agents detected by the immune system called?;pathogens;pathogens;0.6581757664680481;4;13;4;0.06285762786865234;27.34;1.0;3192.0
42;What is European Union Law?;a body of treaties and legislation, such as Regulations and Directives, which have direct effect or indirect effect on the laws of European Union member states;Regulations and Directives;0.21973954141139984;7;8;31;0.0682535171508789;27.42;8.5;3175.0
43;What concept did philosophers in antiquity use to study simple machines?;the concept of force;force;0.001613976084627211;3;14;6;0.07327938079833984;27.244999999999997;0.0;3171.0
44;What right do private schools have that public schools don't?;to select their students;to select their students;2.529029552533757e-05;6;14;6;0.06337380409240723;27.265;10.5;3164.0
45;What is the largest stadium in Australia?;Melbourne Cricket Ground;Melbourne Cricket Ground;0.015044735744595528;6;10;6;0.07887005805969238;27.17;14.0;3158.0
46;Where do ctenophora live?;marine waters;marine waters;1.4854846597245341e-07;4;10;4;0.06594681739807129;27.475;3.5;3158.0
47;In what country can most of the Amazon rainforest be found?;Brazil;Brazil;0.0627119317650795;3;15;3;0.08234310150146484;27.27;0.0;3158.0
48;What are the two bodies that make up the European Union's legislature?;European Parliament and the Council of the European Union;European Parliament and the Council of the European Union;0.7964367866516113;11;16;11;0.07078695297241211;27.29;2.0;3158.0
49;The Scottish Parliament may legislate as it pleases as long as the powers aren't already reserved by where?;Westminster;Westminster;4.5514216253650375e-06;4;24;4;0.07294178009033203;26.99;0.0;3153.0
